Date,Season,Region,Site,Site,Point,Lat,Long,Mean_temp,Max_temp,Min_temp,Depth,Jap_name,Species,Cover,DW_g_m2,Source,Person_in_charge
2021/8/20,Flourish,TohokuPacific,宮城県石巻市（泊浜）,Ishinomaki,Tomarihama,38.35629,141.54293,17.87,26.83,7.81,4.1,Arame,Eisenia bicyclis,80,2813.3,BC_project,Yatsuya
2024/6/21,Flourish,TohokuPacific,茨城県日立市久慈浜,Hitachi,Kujihama,36.50115,140.63224,17.87,26.83,7.81,3.4,Arame,Eisenia bicyclis,80,4116.972,BC_project,Sato
2024/6/21,Flourish,TohokuPacific,茨城県日立市久慈浜,Hitachi,Kujihama,36.50115,140.63224,17.87,26.83,7.81,3.4,Arame,Eisenia bicyclis,20,143.184,BC_project,Sato
2024/6/21,Flourish,TohokuPacific,茨城県日立市久慈浜,Hitachi,Kujihama,36.50115,140.63224,17.87,26.83,7.81,4.1,Arame,Eisenia bicyclis,60,1346.096,BC_project,Sato
2024/6/21,Flourish,TohokuPacific,茨城県日立市久慈浜,Hitachi,Kujihama,36.50115,140.63224,17.87,26.83,7.81,4,Arame,Eisenia bicyclis,50,1103.3,BC_project,Sato
2024/6/21,Flourish,TohokuPacific,茨城県日立市久慈浜,Hitachi,Kujihama,36.50115,140.63224,17.87,26.83,7.81,2.7,Arame,Eisenia bicyclis,15,63.54,BC_project,Sato
2005/5/8,Flourish,TohokuPacific,茨城県東茨城郡大洗町,Oharai,OharaiMisaki,36.30309,140.58907,,,,2.6,Arame,Eisenia bicyclis,100,10080,JuuyoushicchiDB,Sato
2022/6/28,Flourish,CentralPacific,千葉県銚子市犬吠埼,Choshi,Inubosaki,35.709363,140.867415,19.79,27.57,12.43,1,Arame,Eisenia bicyclis,100,5306.343375,BC_project,Sato
2022/6/28,Flourish,CentralPacific,千葉県銚子市犬吠埼,Choshi,Inubosaki,35.709363,140.867415,19.79,27.57,12.43,1,Arame,Eisenia bicyclis,50,1584,BC_project,Sato
2022/6/28,Flourish,CentralPacific,千葉県銚子市犬吠埼,Choshi,Inubosaki,35.709363,140.867415,19.79,27.57,12.43,1,Arame,Eisenia bicyclis,20,340,BC_project,Sato
2022/6/28,Flourish,CentralPacific,千葉県銚子市犬吠埼,Choshi,Inubosaki,35.709363,140.867415,19.79,27.57,12.43,1,Arame,Eisenia bicyclis,90,4299.255867,BC_project,Sato
2022/6/28,Flourish,CentralPacific,千葉県銚子市犬吠埼,Choshi,Inubosaki,35.709363,140.867415,19.79,27.57,12.43,1,Arame,Eisenia bicyclis,40,1296,BC_project,Sato
1993/xx/xx,,CentralPacific,神奈川県,Yokosuka,Chojagasaki,35.2527,139.5771,20.22,28.18,13.11,3,Arame,Eisenia bicyclis,37.5,258.2879137,Akimoto et al. (2012),Sato
2009/xx/xx,,CentralPacific,神奈川県,Yokosuka,KuruwaPort,35.2448,139.5921,20.22,28.18,13.11,5,Arame,Eisenia bicyclis,37.5,103.3151655,Akimoto et al. (2012),Sato
2009/xx/xx,,CentralPacific,神奈川県,Yokosuka,Chojagasaki,35.2527,139.5771,20.22,28.18,13.11,1,Arame,Eisenia bicyclis,37.5,258.2879137,Akimoto et al. (2012),Sato
1993/xx/xx,,CentralPacific,神奈川県,Yokosuka,Chojagasaki,35.2527,139.5771,20.22,28.18,13.11,1,Arame,Eisenia bicyclis,2.5,77.48637412,Akimoto et al. (2012),Sato
2009/xx/xx,,CentralPacific,神奈川県,Yokosuka,Chojagasaki,35.2527,139.5771,20.22,28.18,13.11,5,Arame,Eisenia bicyclis,2.5,77.48637412,Akimoto et al. (2012),Sato
1993/xx/xx,,CentralPacific,神奈川県,Yokosuka,Chojagasaki,35.2527,139.5771,20.22,28.18,13.11,3,Arame,Eisenia bicyclis,87.5,774.8637412,Akimoto et al. (2012),Sato
