Date,Season,Region,Site_j,Site,Point,Lat,Long,Depth,Type,Jap_name,Species,Cover,DW_g_m2,Source,Person
2023/7/17,Flourish,Hokkaido,北海道厚岸町愛冠,Akkeshi,Aikappu,43.022435,144.838022,0.6,Uganomoku,Uganomoku,Cystoseira hakodatensis,100,902.8976,BC_project,Sato
2023/7/17,Flourish,Hokkaido,北海道厚岸町愛冠,Akkeshi,Aikappu,43.022435,144.838022,0.5,Uganomoku,Uganomoku,Cystoseira hakodatensis,80,1276.5104,BC_project,Sato
2023/7/17,Flourish,Hokkaido,北海道厚岸町愛冠,Akkeshi,Aikappu,43.022435,144.838022,0.6,Uganomoku,Uganomoku,Cystoseira hakodatensis,60,840.6288,BC_project,Sato
2023/7/17,Flourish,Hokkaido,北海道厚岸町愛冠,Akkeshi,Aikappu,43.022435,144.838022,0.5,Uganomoku,Uganomoku,Cystoseira hakodatensis,20,249.0752,BC_project,Sato
2023/7/17,Flourish,Hokkaido,北海道厚岸町愛冠,Akkeshi,Aikappu,43.022435,144.838022,0.6,Uganomoku,Uganomoku,Cystoseira hakodatensis,40,1027.4352,BC_project,Sato
2023/7/17,Flourish,Hokkaido,北海道厚岸町愛冠,Akkeshi,Aikappu,43.022435,144.838022,0.2,Uganomoku,Uganomoku,Cystoseira hakodatensis,10,140.1048,BC_project,Sato
2018/5/14,Flourish,NorthJapanSea,新潟県佐渡市,Sado,L-01,38.33215278,138.5138389,1,Mix,"Nokogirimoku; Fushisujimoku, Yanagimoku; Yoremoku",,84,1188.612,Sadochiku_mobachosa,Hamaoka
2018/5/14,Flourish,NorthJapanSea,新潟県佐渡市,Sado,L-01,38.33215278,138.5138389,3,Mix,"Nokogirimoku; Fushisujimoku, Isomoku; Yoremoku",,60,374.628,Sadochiku_mobachosa,Hamaoka
2018/5/14,Flourish,NorthJapanSea,新潟県佐渡市,Sado,L-01,38.33215278,138.5138389,5,Mix,"Togemoku; Fushisujimoku,Yanagimoku; Yoremoku",,61,433.047,Sadochiku_mobachosa,Hamaoka
2018/5/14,Flourish,NorthJapanSea,新潟県佐渡市,Sado,L-01,38.34008056,138.5151611,7,Mix,,,80,987.936,Sadochiku_mobachosa,Hamaoka
2018/5/14,Flourish,NorthJapanSea,新潟県佐渡市,Sado,L-01,38.34008056,138.5151611,12,Mix,,,50,350.46,Sadochiku_mobachosa,Hamaoka
2018/5/14,Flourish,NorthJapanSea,新潟県佐渡市,Sado,L-01,38.34008056,138.5151611,20,Mix,,,60,298.554,Sadochiku_mobachosa,Hamaoka
