Class,Species,Jap_name,Date,Season,Region,Site,Point,Lat,Long,Depth,Cover,DW_g_m2,Source,Person
Chlorophyta,Ulva pertusa,Anaaosa,2021/6/17,Flourish,Hokkaido,Akkeshiko,16号島5,43.03705738,144.8692782,,90,137.5,BC_project,Hasegawa
Chlorophyta,Ulva pertusa,Anaaosa,2021/6/17,Flourish,Hokkaido,Akkeshiko,16号島6,43.03705738,144.8692782,,60,47.5,BC_project,Hasegawa
Chlorophyta,Ulva pertusa,Anaaosa,2021/6/17,Flourish,Hokkaido,Akkeshiko,16号島7,43.03705738,144.8692782,,50,35,BC_project,Hasegawa
Chlorophyta,Ulva pertusa,Anaaosa,2021/6/17,Flourish,Hokkaido,Akkeshiko,16号島8,43.03705738,144.8692782,,70,60,BC_project,Hasegawa
Chlorophyta,Ulva pertusa,Anaaosa,2021/6/17,Flourish,Hokkaido,Akkeshiko,16号島9,43.03705738,144.8692782,,100,597.5,BC_project,Hasegawa
Chlorophyta,Ulva pertusa,Anaaosa,2021/6/17,Flourish,Hokkaido,Akkeshiko,11号島3,43.03705738,144.8692782,,5,2.5,BC_project,Hasegawa
Chlorophyta,Ulva pertusa,Anaaosa,2021/6/17,Flourish,Hokkaido,Akkeshiko,11号島4,43.03705738,144.8692782,,40,30,BC_project,Hasegawa
Chlorophyta,Ulva pertusa,Anaaosa,2021/6/17,Flourish,Hokkaido,Akkeshiko,11号島5,43.03705738,144.8692782,,10,7.5,BC_project,Hasegawa
Chlorophyta,Ulva pertusa,Anaaosa,2021/6/17,Flourish,Hokkaido,Akkeshiko,11号島6,43.03705738,144.8692782,,10,5,BC_project,Hasegawa
Chlorophyta,Desmarestia viridis,Keurujigusa,2018/5/14,Flourish,NorthJapanSea,Sado,L-01,38.33215278,138.5138389,1,0,1.635,Sadochiku_mobachosa,Hamaoka
Chlorophyta,Desmarestia viridis,Keurujigusa,2018/5/14,Flourish,NorthJapanSea,Sado,L-01,38.33215278,138.5138389,3,3,0,Sadochiku_mobachosa,Hamaoka
Chlorophyta,Desmarestia viridis,Keurujigusa,2018/5/14,Flourish,NorthJapanSea,Sado,L-01,38.33215278,138.5138389,5,,,Sadochiku_mobachosa,Hamaoka
Chlorophyta,Desmarestia viridis,Keurujigusa,2018/5/14,Flourish,NorthJapanSea,Sado,L-01,38.34008056,138.5151611,7,,,Sadochiku_mobachosa,Hamaoka
Chlorophyta,Desmarestia viridis,Keurujigusa,2018/5/14,Flourish,NorthJapanSea,Sado,L-01,38.34008056,138.5151611,12,3,35.439,Sadochiku_mobachosa,Hamaoka
Chlorophyta,Desmarestia viridis,Keurujigusa,2018/5/14,Flourish,NorthJapanSea,Sado,L-01,38.34008056,138.5151611,20,,,Sadochiku_mobachosa,Hamaoka
Chlorophyta,Desmarestia viridis,Keurujigusa,2018/5/30,Flourish,NorthJapanSea,Sado,L-02,38.33652222,138.4832889,1,,,Sadochiku_mobachosa,Hamaoka
Chlorophyta,Desmarestia viridis,Keurujigusa,2018/5/30,Flourish,NorthJapanSea,Sado,L-02,38.33652222,138.4832889,3,,,Sadochiku_mobachosa,Hamaoka
Chlorophyta,Desmarestia viridis,Keurujigusa,2018/5/30,Flourish,NorthJapanSea,Sado,L-02,38.33652222,138.4832889,5,10,53.652,Sadochiku_mobachosa,Hamaoka
Chlorophyta,Desmarestia viridis,Keurujigusa,2018/5/30,Flourish,NorthJapanSea,Sado,L-02,38.33793333,138.4826694,7,20,85.29,Sadochiku_mobachosa,Hamaoka
Chlorophyta,Desmarestia viridis,Keurujigusa,2018/5/30,Flourish,NorthJapanSea,Sado,L-02,38.33793333,138.4826694,12,50,89.586,Sadochiku_mobachosa,Hamaoka
Chlorophyta,Desmarestia viridis,Keurujigusa,2018/5/30,Flourish,NorthJapanSea,Sado,L-02,38.33793333,138.4826694,20,3,3.627,Sadochiku_mobachosa,Hamaoka
