Species,Jap_name,Date,Season,Region,Site,Point,Lat,Long,Cover,DW_g_m2,Source,Person_in_charge
Phyllospadix iwatensis,Sugamo,2023/7/17,Flourish,Hokkaido,Akkeshi,Aikappu,43.022435,144.838022,100,1001.76,BC_project,Sato
Phyllospadix iwatensis,Sugamo,2023/7/17,Flourish,Hokkaido,Akkeshi,Aikappu,43.022435,144.838022,80,661.1616,BC_project,Sato
Phyllospadix iwatensis,Sugamo,2023/7/17,Flourish,Hokkaido,Akkeshi,Aikappu,43.022435,144.838022,50,460.8096,BC_project,Sato
Phyllospadix iwatensis,Sugamo,2023/7/17,Flourish,Hokkaido,Akkeshi,Aikappu,43.022435,144.838022,40,280.4928,BC_project,Sato
Phyllospadix iwatensis,Sugamo,2023/7/17,Flourish,Hokkaido,Akkeshi,Aikappu,43.022435,144.838022,10,60.1056,BC_project,Sato
Phyllospadix iwatensis,Sugamo,2023/7/17,Flourish,Hokkaido,Akkeshi,Aikappu,43.022435,144.838022,60,440.7744,BC_project,Sato
Phyllospadix iwatensis,Sugamo,2022/6/28,Flourish,CentralPacific,Choshi,Inubosaki,35.709363,140.867415,35,492,BC_project,Sato
Phyllospadix iwatensis,Sugamo,2022/6/28,Flourish,CentralPacific,Choshi,Inubosaki,35.709363,140.867415,100,1320,BC_project,Sato
Phyllospadix iwatensis,Sugamo,2022/6/28,Flourish,CentralPacific,Choshi,Inubosaki,35.709363,140.867415,70,992,BC_project,Sato
Phyllospadix iwatensis,Sugamo,2022/6/28,Flourish,CentralPacific,Choshi,Inubosaki,35.709363,140.867415,10,160,BC_project,Sato
Phyllospadix iwatensis,Sugamo,2022/6/28,Flourish,CentralPacific,Choshi,Inubosaki,35.709363,140.867415,50,360,BC_project,Sato
