Date,Season,Region,Site,Point,Lat,Long,Depth,Jap_name,Species,Cover,DW_g_m2,Person
2021/5/11,Flourish,TohokuPacific,Iwate,岩手県下閉伊郡普代村,40.0091,141.9137,3,Wakame,Undaria pinnatifida,93.3,1435.4,Kobayashi
2021/6/16,Flourish,TohokuPacific,Iwate,岩手県宮古市（ドウメキ）,39.5733,142.0507,1,Wakame,Undaria pinnatifida,100,2235.7,Kobayashi
2022/7/5,Flourish,TohokuPacific,Iwate,Ⅲ5　,39.73331382,141.9837708,4.8,Wakame,Undaria pinnatifida,100,354.96,Kobayashi
2022/7/5,Flourish,TohokuPacific,Iwate,Ⅲ8,39.73331382,141.9837708,5.5,Wakame,Undaria pinnatifida,60,505.76,Kobayashi
2022/7/5,Flourish,TohokuPacific,Iwate,Ⅲ9,39.73331382,141.9837708,8.1,Wakame,Undaria pinnatifida,90,378.16,Kobayashi
2021/7/19,Flourish,TohokuPacific,Iwate,Ⅲ6,39.73331382,141.9837708,4.7,Wakame,Undaria pinnatifida,50,375.26,Kobayashi
2021/7/19,Flourish,TohokuPacific,Iwate,Ⅲ7,39.73331382,141.9837708,4.9,Wakame,Undaria pinnatifida,90,943.08,Kobayashi
2021/7/19,Flourish,TohokuPacific,Iwate,Ⅲ8,39.73331382,141.9837708,4.7,Wakame,Undaria pinnatifida,70,306.24,Kobayashi
2021/7/19,Flourish,TohokuPacific,Iwate,Ⅲ9,39.73331382,141.9837708,7.9,Wakame,Undaria pinnatifida,5,25.23,Kobayashi
2021/7/19,Flourish,TohokuPacific,Iwate,V5,39.73331382,141.9837708,4.8,Wakame,Undaria pinnatifida,80,491.26,Kobayashi
2021/7/19,Flourish,TohokuPacific,Iwate,V7,39.73331382,141.9837708,5.6,Wakame,Undaria pinnatifida,30,61.77,Kobayashi
2019/7/4,Flourish,TohokuPacific,Iwate,Ⅲ6,39.73331382,141.9837708,3.4,Wakame,Undaria pinnatifida,50,146.16,Kobayashi
2018/7/3,Flourish,TohokuPacific,Iwate,Ⅲ6,39.73331382,141.9837708,3.6,Wakame,Undaria pinnatifida,20,111.65,Kobayashi
2018/7/3,Flourish,TohokuPacific,Iwate,Ⅲ7,39.73331382,141.9837708,3,Wakame,Undaria pinnatifida,10,79.17,Kobayashi
2016/7/11,Flourish,TohokuPacific,Iwate,Ⅲ5,39.73331382,141.9837708,3.8,Wakame,Undaria pinnatifida,20,80.04,Kobayashi
2018/5/14,Flourish,NorthJapanSea,Sado,L1,38.33215278,138.5138389,3,Wakame,Undaria pinnatifida,3,3.08792,Hamaoka
2018/5/14,Flourish,NorthJapanSea,Sado,L1,38.33215278,138.5138389,5,Wakame,Undaria pinnatifida,3,8.9784,Hamaoka
2018/5/14,Flourish,NorthJapanSea,Sado,L1,38.34008056,138.5151611,12,Wakame,Undaria pinnatifida,0,0.72384,Hamaoka
2018/5/30,Flourish,NorthJapanSea,Sado,L2,38.33652222,138.4832889,5,Wakame,Undaria pinnatifida,90,370.55272,Hamaoka
2018/5/30,Flourish,NorthJapanSea,Sado,L2,38.33793333,138.4826694,7,Wakame,Undaria pinnatifida,3,7.2152,Hamaoka
2018/5/15,Flourish,NorthJapanSea,Sado,L3,38.3152,138.4638083,1,Wakame,Undaria pinnatifida,20,166.84976,Hamaoka
2018/5/15,Flourish,NorthJapanSea,Sado,L3,38.3152,138.4638083,3,Wakame,Undaria pinnatifida,3,17.62736,Hamaoka
2018/5/15,Flourish,NorthJapanSea,Sado,L3,38.3152,138.4638083,5,Wakame,Undaria pinnatifida,30,200.01648,Hamaoka
2018/5/15,Flourish,NorthJapanSea,Sado,L3,38.31825556,138.4590611,12,Wakame,Undaria pinnatifida,10,21.34632,Hamaoka
